"Runs";"Prev_farm_type";"Prev_wfp_ext.min";"Prev_wfp_ext.max";"Prev_wfp_col_base";"C_barn";"F_cross_trans";"F_transp";"C_prod_n";"Amount_fec";"N_transp";"N_contact";"C_prod.min";"C_prod.max";"F_scald_soft";"a_df";"b_df";"F_df";"P_cross_df_p";"P_cross_df_n";"C_caecal";"P_cross_ev_p";"F_ev";"wash_type";"F_wash_IOBW";"F_wash_PE";"F_wash_adj";"F_chill";"Prop_cm";"P_skin";"P_cut_vis";"spill_weight";"Prop_product";"T_growth_min";"T_growth_opt";"F_pack";"F_freezer";"Time_gen_min";"C_MPD";"Carcass_size_mean";"Carcass_size_sd";"Breast_size_mean";"Breast_size_sd";"Prop_carc_yield";"Time_retail";"Time_trans";"Time_fridge";"T_retail";"T_post_trans";"T_fridge";"Prop_breast_MAP";"Prop_carcass_fresh";"Prop_protec";"DR_omega";"DR_alpha";"P_undercook";"D_value_alpha";"D_value_beta";"Time_protec";"T_protec";"Prev_f";"B_flock_status";"Prev_wfp_col";"C_btp";"Prev_wfp_ext";"P_ccbf";"P_ccwf";"P_pos";"Prev_prod";"C_prod";"Prev_scald";"Prop_scald";"C_scald";"N_df_add";"C_cross_df";"B_cross_df_01";"Prop_neg_df";"Prev_df";"C_conta_df";"C_df";"B_vis_cut";"B_bird_col";"C_spill_cfu";"C_vis_cut";"P_cross_ev_n";"Prop_neg_ev";"B_cross_ev_01";"Prev_ev";"C_ev";"Prev_proc";"Prop_wash";"C_wash";"C_chill";"C_proc";"breast_size";"carcass_size";"Size";"C_max";"T_avg_trans";"Time_gen_retail";"Time_gen_trans";"Time_gen_fridge";"G_retail";"G_trans";"G_fridge";"C_ret";"Carcass_fresh";"Breast_MAP";"C_pack";"C_pproc";"Prev_pproc";"R_ref";"Prev_home_cook";"C_home_cook";"prob_carrier"
1;0.160996324815899;0.03;1;0.999401913875598;0;0.374172113952227;1.41;4.57344748708821;15.0872908054207;0.261821045540273;3.96856991289137;5.5;6.5;3.93557228674949;-1.91;-1.95;-2.85307749940129;0.6;0.0202359551607684;5.27713019941797;0.0645101275992049;0.101306277104371;0.277704559732229;-0.951462512232647;-1.17420315702707;0.377935455064289;0.226185582614562;0.0434210841596654;0.113853823267457;0.174913939115953;4.96737033687532;0.25;7;37.4030604611783;-0.224167385837642;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.600760899262968;4.43893173646462;69.4722934830527;2.23270858471944;6.8029537809088;16.6674311573423;8.9279238661973;0.75;0.85;0.15395078024262;365;0.248;0.399692974156048;8.58;-0.139;1.22106519038201;63.6048100208713;0.160996324815899;"n";0.999401913875598;0;0;0.0168077914360705;0;0.0168077914360705;0.0168077914360705;4.57344748708821;0.0168077914360705;0.000115991913572481;0.000530482925650617;59.4962166090389;9.34497420633285e-14;0;0;0.0168077914360705;2.28560170348366e-16;7.44035933848388e-07;0;1;26.2134600164178;7.44035933848388e-07;0.0202359551607684;0.0198958334469165;0;0.0168077914360705;7.44035933848388e-07;0.0168077914360705;0.0103172322182245;7.67639150821734e-09;1.73628908566361e-09;2.14590418087704e-12;0.0377721115211698;0.239372912700626;0.0377721115211698;4645.96971710388;11.7351924691255;11189.1282591884;19.3756906404165;116.883364702919;1;1.04229162043683;1.37406335395192;3.07330971890815e-12;0;1;3.07330971890815e-12;1;0.0106245505152427;0.548190376351465;0.00424655819450855;1;0.000678292850409323
2;0.14666377856453;0.03;1;1;0;0.0123558855848387;1.41;4.61728942336799;22.1546305577226;0.289987745694816;3.5522899212597;5.5;6.5;4.20840295247456;-1.91;-1.95;-2.42329346986051;0.6;0.0206898953680531;3.65971419943272;0.090790512072002;0.101509486056057;0.62291891942732;-0.898780326031861;-1.18711347876517;0.0341193850617856;0.184239419666061;0.18834824845475;0.0309990807624982;0.156572676200029;3.90733041753992;0.25;7;37.9976321677882;-0.175787376618242;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.645387550652958;3.65121062253441;68.9494091640902;2.19771689731228;1.13454426078428;1.23771565263429;1.86623375298827;0.75;0.85;0.158001458357384;365;0.248;0.395856694549771;8.58;-0.139;0.806192592167668;63.7101295606203;0.14666377856453;"n";1;0;0;0.000555408265673673;0;0.000555408265673673;0.000555408265673673;4.61728942336799;0.000555408265673673;6.188666041491e-05;0.00028574862258133;1800.47734577206;1.54522804960682e-20;0;0;0.000555408265673673;1.97945708886627e-11;1.07817852097604e-06;0;1;14.2997126109463;1.07817852097604e-06;0.0206898953680531;0.0206784040291497;0;0.000555408265673673;1.07817852097604e-06;0.000555408265673673;0.00848548899330207;9.14887197255689e-09;1.68558286282297e-09;2.46037053465035e-12;0.0596740969647501;0.217141165488843;0.0596740969647501;7339.91392666426;1.18612995670929;13.1265735067953;13.360547615678;17.1349451356113;1;1;1;2.46037053465035e-12;1;0;2.46037053465035e-12;1;0.000351084983275642;0.530019674528767;0.000138979340985557;1;0.000678292850409323
3;0.0949305327679877;0.03;1;0.999401913875598;0;0.265461413539015;1.41;4.61732766601591;15.1921873822698;1.19932233635336;2.99565679198442;5.5;6.5;5.93338299198257;-1.91;-1.95;-1.53600633902178;0.6;0.0197965240517011;6.83600978411079;0.109919480819158;0.0862226239571727;0.585358631797135;-0.740005514693288;-1.25993351534158;0.160361290560104;0.129660582623729;0.0831575403661218;0.404282168349029;0.201965535323742;4.22324470849708;0.25;7;36.344673925271;-0.212448601858838;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.639894960366655;2.57519475081943;69.6364645614943;2.2160438330208;4.24829196361527;13.1781499846641;4.47925083242035;0.75;0.85;0.173992407614208;365;0.248;0.397325520460484;8.58;-0.139;0.93567353503688;63.5922768868702;0.0949305327679877;"n";0.999401913875598;0;0;0.0299298827910072;0;0.0299298827910072;0.0299298827910072;4.61732766601591;0.0299298827910072;1.16578109434145e-06;5.38279329942106e-06;33.4114238596505;1.19953456065027e-14;0;0;0.0299298827910072;8.22308153229906e-10;1.56675599121183e-07;0;1;28.8701421479801;1.56675599121183e-07;0.0197965240517011;0.0192040164071644;0;0.0299298827910072;1.56675599121183e-07;0.0299298827910072;0.0116052420341451;1.81825824864603e-09;2.35756423879845e-10;1.98148033015457e-12;0.0162830075285759;0.347027879800626;0.0162830075285759;2002.80992601484;8.71322097413968;53.4504947671848;137.889014852713;63.6938013605895;1;1.00585125131817;1;1.99307446954832e-12;1;1;1.99307446954832e-12;1;0.0189192942355247;0.550393774210474;0.0075171184288749;1;0.000678292850409323
4;0.101997251339374;0.03;1;0.999401913875598;0;0.0442331805825233;1.41;4.60003294172971;20.681691621557;2.82123724743724;3.63603532987922;5.5;6.5;3.64820932286389;-1.91;-1.95;-2.80898557180696;0.6;0.0190042937919395;8.08579540346454;0.0383503895445289;0.101621067220822;0.571342778624967;-0.966008000181063;-1.15433954135456;0.389025765121914;0.111998013037773;0.272957188481581;0.423638218186096;0.196000071469413;9.83466215082444;0.25;7;37.2648101629948;-0.149253238315094;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.605048949946649;2.21244036453185;70.1486215185999;2.19246087531951;5.57793769278293;5.35844123901168;3.9284610794601;0.75;0.85;0.129807243808468;365;0.248;0.397377774162322;8.58;-0.139;0.925759908994733;62.4805685108581;0.101997251339374;"n";0.999401913875598;0;0;0.0115794068267628;0;0.0115794068267628;0.0115794068267628;4.60003294172971;0.0115794068267628;0.000224797085935688;0.00103407400050901;86.3602095479328;3.53805832184659e-14;0;0;0.0115794068267628;4.3941087339176e-10;1.6053363775531e-06;0;1;79.521066013763;1.6053363775531e-06;0.0190042937919395;0.0187842353426673;0;0.0115794068267628;1.6053363775531e-06;0.0115794068267628;0.0105284092976074;1.69016384432174e-08;1.89294992272318e-09;5.47228619680892e-11;0.0607909787983715;0.285163476764307;0.0607909787983715;7477.29039219969;5.4681894658973;212.880810788069;183.469409257958;45.631182213014;1;1;1;5.47228619680892e-11;1;1;5.47228619680892e-11;1;0.00731958111423652;0.785599099546096;0.00290863885097588;1;0.000678292850409323
5;0.11585911710592;0.03;1;0.999401913875598;0;0.383961106068455;1.41;4.6422259516278;32.1980066173771;0.219655755907297;3.09427493857519;5.5;6.5;4.67811165543289;-1.91;-1.95;-1.11358022962334;0.6;0.019442622412977;4.91771944704926;0.0604515135134657;0.0727564249979987;0.115381156792864;-1.00148050403653;-1.18435322443032;0.181613952037878;0.209089124006166;0.116265328450724;0.185049196273984;0.156197259898008;4.38321569631808;0.25;7;35.7888307596495;-0.237968092660339;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.604062300664373;3.05369693543356;69.2876338714145;2.1982097693468;6.35959293329484;13.495152108021;1.17768768047456;0.75;0.85;0.16159002952697;365;0.248;0.400858297971088;8.58;-0.139;1.07593584317627;63.5255836102957;0.11585911710592;"n";0.999401913875598;0;0;0.0102462454147248;0;0.0102462454147248;0.0102462454147248;4.6422259516278;0.0102462454147248;2.09840032365351e-05;9.74124843936849e-05;97.5967253881022;1.94626822067303e-15;0;0;0.0102462454147248;4.6516659631749e-13;7.49953592812251e-06;0;1;21.555425070395;7.49953592812251e-06;0.019442622412977;0.0192434085322278;0;0.0102462454147248;7.49953592812251e-06;0.0102462454147248;0.00770268045996439;5.77665288523501e-08;1.20783529146148e-08;6.49658536842379e-11;0.0194089313455257;0.175423108010994;0.0194089313455257;2387.29855549966;9.92737252065793;949.803312848022;45.4558651141212;11.4909230151309;1;1.01776517203467;1;6.61199832513173e-11;1;1;6.61199832513173e-11;1;0.0064768623774504;0.562268661163685;0.00259630402881775;1;0.000678292850409323
6;0.139992681265419;0.03;1;0.999401913875598;0;0.0615350177977234;1.41;4.47718819885285;20.3945891138902;3.79172534868121;2.71583028490856;5.5;6.5;4.11246647188998;-1.91;-1.95;-2.10880809733677;0.6;0.0202603293744229;5.43858480867513;0.030758010936594;0.0852398691604242;0.827625343576074;-0.741124751885867;-1.10840599360627;0.0444038042332977;0.10386796075394;0.0557904196992477;0.115254101208936;0.203411143212323;3.94172662799247;0.25;7;38.0920866755885;-0.27332967272745;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.623352730483748;3.02448976191019;69.9660614624016;2.18461220419936;4.63221287725398;-2.42638848934191;10.3031872300433;0.75;0.85;0.16335007108705;365;0.248;0.402245648140984;8.58;-0.139;0.692447120328034;63.2680774714132;0.139992681265419;"n";0.999401913875598;0;0;0.0267996052275494;0;0.0267996052275494;0.0267996052275494;4.47718819885285;0.0267996052275494;7.71851101213681e-05;0.000345572264162547;37.3139824825487;4.73746228604327e-13;0;0;0.0267996052275494;5.88364599072422e-09;2.68986684028927e-06;0;1;21.4374145589501;2.68986684028927e-06;0.0202603293744229;0.0197173605454083;0;0.0267996052275494;2.68986684028927e-06;0.0267996052275494;0.189558687582789;5.09887628017696e-07;5.29609881358617e-08;8.51357771902671e-11;0.0279215318880488;0.259758266320718;0.0279215318880488;3434.34842223;1.10291219395604;81.0423990588441;13.0653909261511;41.6419650727759;1;1;2.39343572298914;2.03767010431629e-10;1;1;2.03767010431629e-10;1;0.0169405814328233;0.610572488137093;0.00681427515833111;1;0.000678292850409323
7;0.152532563639631;0.03;1;0.999401913875598;0;0.462197968387045;1.41;4.67716561257076;30.5465575585451;2.29207944869995;3.22069545182243;5.5;6.5;4.65237946074213;-1.91;-1.95;-2.97519445324379;0.6;0.0198839566937211;4.66866503630732;0.11676602228507;0.0722502306807658;0.746995388064533;-0.963632402410528;-1.14130524054862;0.159236734150909;0.123193294450412;0.188176515367124;0.02255034575603;0.181006103043956;4.00559662748128;0.25;7;38.4716384624955;-0.212672501755508;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.644656894356012;3.21869648525969;69.3525536889404;2.2105104323046;3.82667473506541;-0.683373704500006;2.20275311672603;0.75;0.85;0.183465031626832;365;0.248;0.400406180821846;8.58;-0.139;1.30587399904282;64.605776028507;0.152532563639631;"n";0.999401913875598;0;0;0.145911739933936;0;0.145911739933936;0.145911739933936;4.67716561257076;0.145911739933936;2.22648892526985e-05;0.000104136574380418;6.85345812785707;2.46220589985223e-10;0;0;0.145911739933936;4.52834633208594e-14;1.10257675947414e-07;0;1;18.7007889242724;1.10257675947414e-07;0.0198839566937211;0.0169826539757693;0;0.145911739933936;1.10257675947414e-07;0.145911739933936;0.126049095112992;1.38978802824331e-08;1.71212565787036e-09;1.81632797302949e-12;0.0240315631684591;0.247236551035632;0.0240315631684591;2955.88226972047;1.5716505152827;46.2282428569871;15.7979583419043;20.2279758422473;1;1;1;1.81632797302949e-12;1;0;1.81632797302949e-12;1;0.0922338105866867;0.397921249861992;0.0369309878396608;1;0.000678292850409323
8;0.190710967547565;0.03;1;0.999401913875598;0;0.190562071860768;1.41;4.53401924929222;17.9248320910216;0.698278826661408;2.39802291922034;5.5;6.5;3.08911894521746;-1.91;-1.95;-2.90918387121332;0.6;0.0200926348853851;3.22940666843391;0.101376628528214;0.099187042392854;0.507109148893505;-1.0121711959298;-1.16942572512593;0.168138068635017;0.174997975617711;0.0494950622144481;0.134702721612813;0.187832242672816;7.17668171646073;0.25;7;38.4352545953111;-0.20226042778278;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.636624172329903;3.44520276469579;69.8560597707444;2.1809191148992;2.37644653808698;8.12963066560874;5.24029587946925;0.75;0.85;0.180614549354732;365;0.248;0.400621705969801;8.58;-0.139;1.06628382998614;63.3228600170264;0.190710967547565;"n";0.999401913875598;0;0;0.0261751763023227;0;0.0261751763023227;0.0261751763023227;4.53401924929222;0.0261751763023227;0.000814481182155153;0.00369287335807775;38.2041361804032;4.56395949844014e-12;0;0;0.0261751763023227;1.03094179973842e-12;4.55177245294607e-06;0;1;23.176423792366;4.55177245294607e-06;0.0200926348853851;0.0195667066248819;0;0.0261751763023227;4.55177245294607e-06;0.0261751763023227;0.0076894850409173;3.50007861865882e-08;6.12506672768128e-09;1.0209138087464e-11;0.0122645781707853;0.163955152059806;0.0122645781707853;1508.5431150066;5.25303860184786;21.7260139789151;152.182671866663;149.986620637442;1;1;1;1.0209138087464e-11;1;0;1.0209138087464e-11;1;0.0165458670716603;0.599960222663999;0.00662863349299809;1;0.000678292850409323
9;0.139618851895087;0.03;1;0.999401913875598;0;0.28577876498457;1.41;4.51432159062082;5.10428415180696;2.05441782064736;3.05865343636728;5.5;6.5;4.29954919670721;-1.91;-1.95;-2.85717488817404;0.6;0.0204930794901515;6.42287491505147;0.0776994175739272;0.0849871589203764;0.568674944341183;-0.911172865574718;-1.16660361046163;0.363585403305478;0.157362455243012;0.0858737857774352;0.541252373820236;0.18578586016175;4.02831932576373;0.25;7;37.8291408681568;-0.154531173108246;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.606447516591288;5.41361711618192;69.3067928641773;2.1833365920894;8.62187332068982;3.51568366715323;5.05250786857562;0.75;0.85;0.141212282125143;365;0.248;0.400451325917142;8.58;-0.139;0.834409964229469;63.1328404267052;0.139618851895087;"n";0.999401913875598;0;0;0.0759535159144835;0;0.0759535159144835;0.0759535159144835;4.51432159062082;0.0759535159144835;5.01707742562836e-05;0.000226487009443304;13.1659474608905;3.03223473625198e-11;0;0;0.0759535159144835;4.03550412704424e-11;3.14679469374996e-07;0;1;25.8733911472649;3.14679469374996e-07;0.0204930794901515;0.0189365580509595;0;0.0759535159144835;3.14679469374996e-07;0.0759535159144835;0.0114000266758363;3.58735434521296e-09;5.64514887589398e-10;6.55957696185644e-12;0.0410543158374307;0.240113326059466;0.0410543158374307;5049.68084800398;6.06877849392152;169.819220316843;515.127467505444;117.779384119809;1.69947478958397;1;1;1.11478356770109e-11;1;1;7.81015018716418e-12;1;0.048011778924857;0.637580727143884;0.0192263805300997;1;0.000678292850409323
10;0.135393001278703;0.03;1;0.999401913875598;0;0.435212685610168;1.41;4.57153709759025;13.1508462589523;1.46712550427765;2.89164119600457;5.5;6.5;4.10846731762888;-1.91;-1.95;-2.80911929304207;0.6;0.0203031696357728;5.11287105523262;0.0743906522527414;0.0979780272289521;0.115043632220477;-0.903777495042287;-1.13645342487938;0.321311081759632;0.12988787004689;0.227046991508691;0.113671446557633;0.185109047182922;4.19439892517403;0.25;7;38.5348346603052;-0.240704491890829;0.33;0.47;123000;1495.3;303.4;111.6;71.9;0.642052153963596;3.7799280384866;69.9684442171966;2.163233817697;-3.83848586064422;18.2777728827517;5.11812793289422;0.75;0.85;0.149355065641151;365;0.248;0.404057703354882;8.58;-0.139;0.656076274187618;63.5634329602479;0.135393001278703;"n";0.999401913875598;0;0;0.0836468071604653;0;0.0836468071604653;0.0836468071604653;4.57153709759025;0.0836468071604653;7.78991434523056e-05;0.00035611882416272;11.9550289359118;7.28776852461080e-11;0;0;0.0836468071604653;5.19993149100138e-08;5.52682403661558e-07;1;1;21.4454208586211;21.4454214113035;0.0203031696357728;0.0186048743205031;0;0.0836468071604653;21.4454214113035;0.0836468071604653;0.012044094585527;0.258290683904225;0.0335488267852742;0.000216463404371526;0.0474806447377461;0.274083376016045;0.0474806447377461;5840.11930274277;7.21964351105372;3.97870503719072;9688.18046003467;131.977161186858;1;1.00008343577906;1;0.000216481465164307;1;1;0.000216481465164307;1;0.0528748664864979;0.555498407858241;0.0213644971177304;1;0.000678292850409323
